id;latitude;longitude;yearcollected;tname
393045055;-2.25;98.516667;1929;Trapezia cymodoce
393045056;-3.555184;128.19101;1990;Trapezia cymodoce
393045057;-3.555184;128.19101;1990;Trapezia cymodoce
393045058;-3.555184;128.19101;1990;Trapezia cymodoce
393045059;-3.555184;128.19101;1990;Trapezia cymodoce
393045060;-3.555184;128.19101;1990;Trapezia cymodoce
393045061;-3.662902;128.190236;1990;Trapezia cymodoce
393045062;-3.662902;128.190236;1990;Trapezia cymodoce
393045063;-3.660761;128.197746;1990;Trapezia cymodoce
393045064;-3.660761;128.197746;1990;Trapezia cymodoce
393045065;-3.653694;128.199034;1990;Trapezia cymodoce
393045066;-9.9;120.708333;1984;Trapezia cymodoce
393045067;-3.653694;128.199034;1990;Trapezia cymodoce
393045068;-2.45;96.4;1913;Trapezia cymodoce
393045069;1.853333;125.095;1979;Trapezia cymodoce
393045070;-5.916667;123.983333;1984;Trapezia cymodoce
393045071;-5.966667;124;1930;Trapezia cymodoce
393045072;-5.05;119.283333;1930;Trapezia cymodoce
393045073;-5.05;119.283333;;Trapezia cymodoce
393045074;-7.066667;120.65;1930;Trapezia cymodoce
393045075;-3.766667;128.116667;1984;Trapezia cymodoce
393045076;-3.65;128.2;1984;Trapezia cymodoce
393045077;-1.2;129.4;1930;Trapezia cymodoce
393045078;-1.2;129.4;1930;Trapezia cymodoce
393092482;1.216667;103.75;1965;Trapezia cymodoce
393095309;1.216667;103.75;1965;Trapezia cymodoce
393399536;-27.516666;29.55;;Trapezia cymodoce
393399537;-20;43;;Trapezia cymodoce
393399538;0.6166667;73.28333;;Trapezia cymodoce
393399539;10;93;;Trapezia cymodoce
393399540;12.5;92.75;;Trapezia cymodoce
393399541;3.4833333;73.53333;;Trapezia cymodoce
393399542;-6.1569443;39.192223;;Trapezia cymodoce
393399543;8.116667;73.3;;Trapezia cymodoce
393399544;4.875555;72.96306;;Trapezia cymodoce
